id,return_folio,inventory_id,catalog_id,part_number,return_quantity,loss_quantity,previous_quantity,new_quantity,product_model,description,customer,zone_code,location_code,reason,remarks,registered_by,movement_at,created_at
155,EMB-RET-20260508-152651-697,99,99,EBR87463760,100,0,-612,-512,Majesty1,PCB MAIN,LG,pending,,Exceso,,Rubi Garcia,2026-05-08 15:26:51,2026-05-08 21:26:51
156,EMB-RET-20260508-152711-238,402,402,EBR23966207,170,0,0,170,VF1_Better_X,NULL,LG,pending,,Exceso,,Rubi Garcia,2026-05-08 15:27:11,2026-05-08 21:27:11
157,EMB-RET-20260508-152725-889,84,84,EBR80757421,260,0,-1284,-1024,QUANTUM-T,PCB,LG,pending,,Exceso,,Rubi Garcia,2026-05-08 15:27:25,2026-05-08 21:27:25
158,EMB-RET-20260508-152736-334,3,3,EBR82230426,140,0,-50,90,OMEGA 7,PCB,LG,pending,,Exceso,,Rubi Garcia,2026-05-08 15:27:36,2026-05-08 21:27:37
159,EMB-RET-20260508-152808-766,56,56,EBR37437059,10,0,30,40,VS,PCB,LG,pending,,Exceso,,Rubi Garcia,2026-05-08 15:28:08,2026-05-08 21:28:08
160,EMB-RET-20260508-152817-193,68,68,EBR37437072,20,0,23,43,24 VS6M J NP SINGLE I/MAKER MEXICO,NULL,LG,pending,,Exceso,,Rubi Garcia,2026-05-08 15:28:17,2026-05-08 21:28:17
161,EMB-RET-20260508-152828-776,299,299,EBR41039152,60,0,-8,52,MAJESTY,PCB,LG,pending,,Exceso,,Rubi Garcia,2026-05-08 15:28:28,2026-05-08 21:28:28
162,EMB-RET-20260508-152837-733,405,405,EBR23966210,10,0,35,45,VF1_Better_B_DI_100V,PCB MAIN,LG,pending,,Exceso,,Rubi Garcia,2026-05-08 15:28:37,2026-05-08 21:28:37
163,EMB-RET-20260508-152846-556,410,410,EBR23966221,10,0,118,128,VF1_Better_L_MN,NULL,LG,pending,,Exceso,,Rubi Garcia,2026-05-08 15:28:46,2026-05-08 21:28:46
164,EMB-RET-20260508-152855-703,296,296,EBR41039122,40,0,159,199,pending,pending,LG,pending,,Exceso,,Rubi Garcia,2026-05-08 15:28:55,2026-05-08 21:28:55
165,EMB-RET-20260508-152908-374,293,293,EBR41039119,100,0,-854,-754,RAPTOR,PCB,LG,pending,,Exceso,,Rubi Garcia,2026-05-08 15:29:08,2026-05-08 21:29:08
166,EMB-RET-20260508-152927-106,147,147,EBR83845048,40,0,-91,-51,MAJESTY,PCB,LG,pending,,Exceso,,Rubi Garcia,2026-05-08 15:29:27,2026-05-08 21:29:27
167,EMB-RET-20260508-205150-627,570,570,ACQ91482496,10,0,-499,-489,pending,pending,LG,pending,,Exceso,,Rubi Garcia,2026-05-08 20:51:50,2026-05-09 02:51:50
168,EMB-RET-20260508-205159-922,298,298,EBR41039124,20,0,-338,-318,Raptor2 Q DI Mexico,PCB,LG,pending,,Exceso,,Rubi Garcia,2026-05-08 20:51:59,2026-05-09 02:51:59
169,EMB-RET-20260508-205208-445,296,296,EBR41039122,20,0,199,219,pending,pending,LG,pending,,Exceso,,Rubi Garcia,2026-05-08 20:52:08,2026-05-09 02:52:08
170,EMB-RET-20260508-205218-880,402,402,EBR23966207,10,0,170,180,VF1_Better_X,NULL,LG,pending,,Exceso,,Rubi Garcia,2026-05-08 20:52:18,2026-05-09 02:52:18
