id,entry_folio,inventory_id,catalog_id,part_number,quantity,available_quantity,is_fifo_layer_only,previous_quantity,new_quantity,product_model,description,customer,zone_code,location_code,reference_code,batch_no,notes,registered_by,movement_at,created_at
577,EMB-ENT-20260504-222237-671,392,392,EBR24212306,120,120,0,2369,2489,MM Nova Basic Gas,NULL,LG,pending,SIN-UBICACION,EBR24212306,,QR: EBR24212306 | Qty registrada: 120,Braulio Meza,2026-05-04 16:22:34,2026-05-04 22:22:37
578,EMB-ENT-20260504-223308-115,320,320,ACQ30372829,10,10,0,-110,-100,VS,Display,LG,pending,SIN-UBICACION,ACQ30372829,,QR: ACQ30372829 | Qty registrada: 10,Sergio Torres,2026-05-04 16:33:04,2026-05-04 22:33:08
579,EMB-ENT-20260504-231047-846,364,364,EBR43713605,40,6,0,35,75,MM Cancun Best Gas Slide in LSGL5847X,PCB,LG,pending,SIN-UBICACION,EBR43713605,,QR: EBR43713605 | Qty registrada: 40,Braulio Meza,2026-05-04 17:10:44,2026-05-04 23:10:47
580,EMB-ENT-20260504-232440-374,364,364,EBR43713605,37,37,0,35,72,MM Cancun Best Gas Slide in LSGL5847X,PCB,LG,pending,SIN-UBICACION,EBR43713605,,QR: EBR43713605 | Qty registrada: 37,Braulio Meza,2026-05-04 17:24:38,2026-05-04 23:24:40
581,EMB-ENT-20260504-232956-296,272,272,EAD00576610,356,356,0,3145,3501,pending,pending,LG,pending,SIN-UBICACION,EAD00576610,,QR: EAD00576610 | Qty registrada: 356,Sergio Torres,2026-05-04 17:29:53,2026-05-04 23:29:56
582,EMB-ENT-20260504-233328-584,236,236,EAD65948148,480,480,0,2733,3213,pending,pending,LG,pending,SIN-UBICACION,EAD65948148,,QR: EAD65948148 | Qty registrada: 480,Sergio Torres,2026-05-04 17:33:24,2026-05-04 23:33:28
584,EMB-LYR-20260504-174122-747,410,410,EBR23966221,118,118,1,0,118,VF1_Better_L_MN,NULL,LG,pending,,RETORNO:EMB-RET-20260504-174122-154,,Capa FIFO generada por retorno,Rubi Garcia,2026-05-04 17:41:22,2026-05-04 23:41:22
585,EMB-LYR-20260504-174136-657,398,398,EBR23966202,1,1,1,0,1,VF,PCB,LG,pending,,RETORNO:EMB-RET-20260504-174136-192,,Capa FIFO generada por retorno,Rubi Garcia,2026-05-04 17:41:36,2026-05-04 23:41:36
586,EMB-LYR-20260504-174152-923,397,397,EBR23966201,1,1,1,0,1,VF,PCB,LG,pending,,RETORNO:EMB-RET-20260504-174152-359,,Capa FIFO generada por retorno,Rubi Garcia,2026-05-04 17:41:52,2026-05-04 23:41:52
588,EMB-LYR-20260504-174404-753,68,68,EBR37437072,10,10,1,0,10,24 VS6M J NP SINGLE I/MAKER MEXICO,NULL,LG,pending,,RETORNO:EMB-RET-20260504-174404-988,,Capa FIFO generada por retorno,Rubi Garcia,2026-05-04 17:44:04,2026-05-04 23:44:04
589,EMB-LYR-20260504-174415-708,69,69,EBR37437073,20,20,1,0,20,pending,pending,LG,pending,,RETORNO:EMB-RET-20260504-174415-759,,Capa FIFO generada por retorno,Rubi Garcia,2026-05-04 17:44:15,2026-05-04 23:44:15
590,EMB-LYR-20260504-174610-211,96,96,EBR87463715,107,107,1,0,107,Raptor2 L Refresh,NULL,LG,pending,,RETORNO:EMB-RET-20260504-174610-289,,Capa FIFO generada por retorno,Rubi Garcia,2026-05-04 17:46:10,2026-05-04 23:46:10
591,EMB-LYR-20260504-174659-330,24,24,EBR30299369,5,5,1,0,5,pending,pending,LG,pending,,RETORNO:EMB-RET-20260504-174658-335,,Capa FIFO generada por retorno,Rubi Garcia,2026-05-04 17:46:58,2026-05-04 23:46:59
593,EMB-LYR-20260504-174910-447,160,160,ABQ74229143,74,74,1,0,74,MAJESTY,Case Display,LG,pending,,RETORNO:EMB-RET-20260504-174910-985,,Capa FIFO generada por retorno,Rubi Garcia,2026-05-04 17:49:10,2026-05-04 23:49:10
596,EMB-LYR-20260504-175028-619,333,333,ACQ30372850,13,13,1,0,13,RAPTOR,Display,LG,pending,,RETORNO:EMB-RET-20260504-175028-795,,Capa FIFO generada por retorno,Rubi Garcia,2026-05-04 17:50:28,2026-05-04 23:50:28
597,EMB-LYR-20260504-175206-785,109,109,EBR86093798,9,9,1,0,9,Majesty1 L Single DI Colombia 115V,NULL,LG,pending,,RETORNO:EMB-RET-20260504-175206-683,,Capa FIFO generada por retorno,Rubi Garcia,2026-05-04 17:52:06,2026-05-04 23:52:06
598,EMB-LYR-20260504-175333-858,573,573,ACQ91482499,6,6,1,0,6,pending,pending,LG,pending,,RETORNO:EMB-RET-20260504-175333-464,,Capa FIFO generada por retorno,Rubi Garcia,2026-05-04 17:53:33,2026-05-04 23:53:33
599,EMB-LYR-25,343,343,ACQ30500837,80,80,1,0,80,pending,pending,LG,pending,,RETORNO:EMB-RET-20260504-174717-634,,Capa FIFO generada por retorno,Rubi Garcia,2026-05-04 17:47:17,2026-05-05 00:19:36
605,EMB-LYR-20260504-182452-487,296,296,EBR41039122,60,60,1,0,60,pending,pending,LG,pending,,RETORNO:EMB-RET-20260504-182452-998,,Capa FIFO generada por retorno,Rubi Garcia,2026-05-04 18:24:52,2026-05-05 00:24:52
610,EMB-ENT-20260505-125418-212,84,84,EBR80757421,559,559,0,-855,-296,QUANTUM-T,PCB,LG,pending,SIN-UBICACION,EBR80757421,,QR: EBR80757421 | Qty registrada: 559,Sergio Torres,2026-05-05 06:54:16,2026-05-05 12:54:18
611,EMB-ENT-20260505-135541-771,75,75,EBR37437079,60,60,0,-447,-387,24 VS4M G P DUAL I/MAKER AMERICA,NULL,LG,pending,SIN-UBICACION,EBR37437079,,QR: EBR37437079 | Qty registrada: 60,Braulio Meza,2026-05-05 07:55:39,2026-05-05 13:55:41
612,EMB-ENT-20260505-135555-892,406,406,EBR23966211,56,56,0,-1085,-1029,VF3_W_USA,NULL,LG,pending,SIN-UBICACION,EBR23966211,,QR: EBR23966211 | Qty registrada: 56,Braulio Meza,2026-05-05 07:55:53,2026-05-05 13:55:56
613,EMB-ENT-20260505-135625-212,3,3,EBR82230426,143,143,0,-208,-65,OMEGA 7,PCB,LG,pending,SIN-UBICACION,EBR82230426,,QR: EBR82230426 | Qty registrada: 143,Braulio Meza,2026-05-05 07:56:23,2026-05-05 13:56:25
614,EMB-ENT-20260505-141104-958,236,236,EAD65948148,30,30,0,3213,3243,pending,pending,LG,pending,SIN-UBICACION,EAD65948148,,QR: EAD65948148 | Qty registrada: 30,Sergio Torres,2026-05-05 08:11:03,2026-05-05 14:11:04
615,EMB-ENT-20260505-141105-233,236,236,EAD65948148,90,90,0,3243,3333,pending,pending,LG,pending,SIN-UBICACION,EAD65948148,,QR: EAD65948148 | Qty registrada: 30,Sergio Torres,2026-05-05 08:11:04,2026-05-05 14:11:05
616,EMB-ENT-20260505-141105-473,236,236,EAD65948148,45,45,0,3333,3378,pending,pending,LG,pending,SIN-UBICACION,EAD65948148,,QR: EAD65948148 | Qty registrada: 30,Sergio Torres,2026-05-05 08:11:04,2026-05-05 14:11:05
619,EMB-ENT-20260505-142043-947,75,75,EBR37437079,120,120,0,-387,-267,24 VS4M G P DUAL I/MAKER AMERICA,NULL,LG,pending,SIN-UBICACION,EBR37437079,,QR: EBR37437079 | Qty registrada: 120,Rubi Garcia,2026-05-05 08:20:40,2026-05-05 14:20:43
620,EMB-ENT-20260505-142832-734,75,75,EBR37437079,60,60,0,-267,-207,24 VS4M G P DUAL I/MAKER AMERICA,NULL,LG,pending,SIN-UBICACION,EBR37437079,,QR: EBR37437079 | Qty registrada: 60,Rubi Garcia,2026-05-05 08:28:29,2026-05-05 14:28:32
621,EMB-ENT-20260505-151623-975,392,392,EBR24212306,200,200,0,1869,2069,MM Nova Basic Gas,NULL,LG,pending,SIN-UBICACION,EBR24212306,,QR: EBR24212306 | Qty registrada: 120,Sergio Torres,2026-05-05 09:16:21,2026-05-05 15:16:23
622,EMB-ENT-20260505-160556-737,392,392,EBR24212306,80,80,0,2069,2149,MM Nova Basic Gas,NULL,LG,pending,SIN-UBICACION,EBR24212306,,QR: EBR24212306 | Qty registrada: 80,Sergio Torres,2026-05-05 10:05:55,2026-05-05 16:05:56
623,EMB-ENT-20260505-160614-700,74,74,EBR37437078,60,60,0,-595,-535,24 VS4M L CRAFT DUAL I/MAKER AMERICA,PCB,LG,pending,SIN-UBICACION,EBR37437078,,QR: EBR37437078 | Qty registrada: 60,Sergio Torres,2026-05-05 10:06:12,2026-05-05 16:06:14
624,EMB-ENT-20260505-163315-617,75,75,EBR37437079,240,240,0,-447,-207,24 VS4M G P DUAL I/MAKER AMERICA,NULL,LG,pending,SIN-UBICACION,EBR37437079,,QR: EBR37437079 | Qty registrada: 240,Sergio Torres,2026-05-05 10:33:14,2026-05-05 16:33:15
625,EMB-ENT-20260505-163331-435,3,3,EBR82230426,60,60,0,-208,-148,OMEGA 7,PCB,LG,pending,SIN-UBICACION,EBR82230426,,QR: EBR82230426 | Qty registrada: 60,Sergio Torres,2026-05-05 10:33:30,2026-05-05 16:33:31
626,EMB-ENT-20260505-164452-909,350,350,ACQ30500853,240,240,0,-319,-79,pending,pending,LG,pending,SIN-UBICACION,ACQ30500853,,QR: ACQ30500853 | Qty registrada: 240,Sergio Torres,2026-05-05 10:44:51,2026-05-05 16:44:52
627,EMB-ENT-20260505-164517-721,299,299,EBR41039152,120,57,0,-63,57,MAJESTY,PCB,LG,pending,SIN-UBICACION,EBR41039152,,QR: EBR41039152 | Qty registrada: 120,Sergio Torres,2026-05-05 10:45:16,2026-05-05 16:45:17
